Title,Price,Neighborhood,URL,Ad Text Content
2014 BMW 535D X-Drive,"$20,000",East Highlands eastside ,https://seattle.craigslist.org/est/cto/d/renton-2014-bmw-535d-drive/7447023529.html," For Sale By Owner: 2014 BMW 535 diesel X-drive. M-Sport Package, Cold weather package, Black with Black leather interior. Heads up Display with paddle shifters. Fully loaded, Heated seats, sunroof. All Power options and features. Gets great mileage and very sporty drive. Great in the snow and summer! 2nd owners. No accidents. Michelin pilots tires with good tread, serviced on schedule.  Serious inquires only. No offers or test drives unless you are serious. "
Tesla Model 3 Long Range Advanced Autopilot,"$45,000",Maple Valley eastside ,https://seattle.craigslist.org/est/cto/d/seattle-tesla-model-long-range-advanced/7446821488.html," Firm on the price. Low miles. 2018 Tesla Model 3 Long Range. Reason for selling is I would like 4wd for the snow. Car is mechanically sound and is still under warranty. 37,000 miles but will go up as time goes. Interior and exterior is like new. Additions are as follows: Brand new Orbital wheels. Brand new tires. Advanced autopilot. Diamond ceramic coating with 5 year warranty ending in 2026. Ceramic window tint all around. Red brake calipers. Satin black Chrome delete. These cars are in high demand as deliveries for new models have been pushed to august 2022 or beyond. If interested, please text at  "
2019 Subaru Crosstrek AWD All Wheel Drive 2.0i Premium SUV,$356,Est. payment OAC eastside ,https://seattle.craigslist.org/est/ctd/d/kirkland-2019-subaru-crosstrek-awd-all/7446818388.html,"   CARFAX One-Owner. Dark Gray Metallic 2019 Subaru Crosstrek 2.0i Premium AWD Lineartronic CVT 2.0L DOHC 17"" Alloy Wheels, 3.90 Axle Ratio, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, All-Weather Floor Liners, AM/FM radio: SiriusXM, Brake assist, Bumpers: body-color, CD player, Cloth Upholstery, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: STARLINK Safety and Security, Exterior Parking Camera Rear, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front fog lights, Front reading lights, Fully automatic headlights, Heated door mirrors, Heated Front Bucket Seats, Heated front seats, Illuminated entry, Knee airbag, Leather Shift Knob, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Radio data system, Radio: Subaru Starlink 6.5"" Multimedia Plus System, Rear anti-roll bar, Rear window defroster, Rear window wiper, Remote keyless entry, Roof rack: rails only, Security system, Speed control, Speed-sensing steering, Split folding rear seat, Spoiler, Standard Model, STARLINK/Apple CarPlay/Android Auto, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Variably intermittent wipers. Recent Arrival! 27/33 City/Highway MPG Awards: * ALG Residual Value Awards, Residual Value Awards   * 2019 KBB.com Our 10 Most Awarded Cars of 2019   * 2019 KBB.com 10 Best All-Wheel-Drive Vehicles Under $30,000   * 2019 KBB.com 5-Year Cost to Own Awards   * 2019 KBB.com Best Resale Value Awards   * 2019 KBB.com 10 Best SUVs Under $30,000   * 2019 KBB.com Brand Image Awards 2019 Subaru Crosstrek M8680463A JF2GTACC7KH223305 2.0i Premium 35,532 Dark Gray Metallic / black SUV Lineartronic CVT 1DF313165056A981 2 4  Cyl Gasoline AWD City /  Hwy 📋  CARFAX Available on this 2019 Subaru Crosstrek *Copy this link into your browser: ↪ Google: ⭐ ⭐ ⭐ ⭐ ⭐  4.5 Rating - 1,326 reviews SureCritic: ⭐ ⭐ ⭐ ⭐ ⭐  4.8 Rating - 3,639 reviews   Great Bank Financing Options Available ⭐    ✔️ Great Credit ✔️ Bad Credit ✔️ No Credit ✔️ No Co-Signer ✔️ First Time Buyers ✔️ Recent Divorce ✔️ Discharged Bankruptcy ✔️ Multiple Repo's ✔️ Short Job Time ✔️ Foreclosure ✔️ Child Support ✔️ Student Loans ✔️ Zero No Money Down Payment ✔️ Negative Equity 💥  Huge Selection Of Quality Pre-Owned Cars 💥  Leave The Lot With Confidence 💥 Trade-In Your Car 🚗 Check out our full inventory for more vehicles priced to move. * Copy this link into your browser: * Standard Model                                                        * 6 Speakers * AM/FM radio: SiriusXM                                         * CD player * Radio data system                                                    * Radio: Subaru Starlink 6.5"" Multimedia Plus System * Air Conditioning                                                      * Rear window defroster * Power steering                                                         * Power windows * Remote keyless entry                                               * Steering wheel mounted audio controls * Four wheel independent suspension                        * Speed-sensing steering * Traction control                                                       * 4-Wheel Disc Brakes * ABS brakes                                                              * Dual front impact airbags * Dual front side impact airbags                                 * Emergency communication system: STARLINK Safety and Security * Front anti-roll bar                                                    * Knee airbag * Low tire pressure warning                                       * Occupant sensing airbag * Overhead airbag                                                       * Rear anti-roll bar * Brake assist                                                              * Electronic Stability Control * Exterior Parking Camera Rear                                 * Front fog lights * Fully automatic headlights                                      * Panic alarm * Security system                                                        * Speed control * Bumpers: body-color                                               * Heated door mirrors * Power door mirrors                                                  * Roof rack: rails only * Spoiler                                                                      * All-Weather Floor Liners * Driver door bin                                                        * Driver vanity mirror * Front reading lights                                                  * Illuminated entry * Leather Shift Knob                                                  * Outside temperature display * Overhead console                                                    * Passenger vanity mirror * STARLINK/Apple CarPlay/Android Auto             * Tachometer * Telescoping steering wheel                                     * Tilt steering wheel * Trip computer                                                          * Cloth Upholstery * Front Bucket Seats                                                   * Front Center Armrest * Heated Front Bucket Seats                                      * Heated front seats * Split folding rear seat                                               * Passenger door bin * 17"" Alloy Wheels                                                    * Alloy wheels * Rear window wiper                                                  * Variably intermittent wipers * 3.90 Axle Ratio   11616 120th AVE NE Kirkland, WA 98034 License # 7621 http://atmxi.com/website/4556 Subject to prior sale. The price listed for this vehicle does not include charges such as: License, Title, Registration Fees, State or Local Taxes, Finance Charges, Optional Credit or Liability Insurance, Delivery Fee, and negotiable State Documentary Service Fee. The Dealership makes no representations, expressed or implied, to any actual or prospective purchaser or owner of this vehicle as to the existence, ownership, accuracy, description or condition of this vehicle's listed equipment, accessories, price or any warranties. Vehicle Pricing - Where permitted by law, all dealer fees and amounts must be disclosed in a clear, conspicuous and legible fashion. There are no exclusions. The Dealership is not responsible for typographical errors in price or equipment listed. Any and all differences must be addressed prior to the sale of this vehicle.   AD ID: 1DF313165056A981   Powered by Automoxie.com"
2008 Subaru Impreza WRX STI - New Motor,"$24,700",Kirkland eastside ,https://seattle.craigslist.org/est/ctd/d/kirkland-2008-subaru-impreza-wrx-sti/7446822880.html," We are selling this very clean 2008 STI Hatchback with 71k miles on the body and a BRAND NEW ENGINE from Subaru.  We took this vehicle in with a blown motor and decided to do an entire rebuild on the mechanical and cosmetic parts. We had the motor professionally rebuilt with receipts using OEM parts as well as many additional service items completed at the same time.  Things to note: Brand new all season tires A brand new short block from Subaru included with a 1 yr/12 month warranty Brand new OEM Heads and valves Brand new OEM clutch kit Resurfaced flywheel Brand new step-colder iridium spark plugs Brand new Transmission and differential fluid change Brand new gaskets including head gaskets, valve seals, intake, and exhaust manifold gaskets Brand new OEM size turbo Brand new OEM oil pump, oil cooler, water pump, thermostat, and timing belt Brand new valve cover gasket Brand new Secondary Air Pump New OEM Intake box and hoses New PCV valves New Starter 4x Rebuilt injectors New MAF sensor Brand new shift linkage bushings   This car has no modification except for ta tame muffler delete. No aftermarket intake or performance parts. No engine or interior modifications at all.  We just had the cosmetics gone over as well. We had the headlights resurfaced and re-sprayed with a clear coat. We just had the STI paint corrected and touched up professionally all around and it looks fantastic. All four wheels were just resurfaced, repainted and looks brand new! Foglights are new and we replaced them with amber bulbs.   Can provide anyone interested with a copy of the CarFax. The Subaru holds a CLEAN TITLE and the CarFax sports regular service history. We can provide the new owner with receipts for everything including the engine rebuild.  There is not a cleaner STI Hatchback for sale in the PNW.  We are asking $24700 for this beautiful fully sorted stock STI Hatch."
2018 Mercedes-Benz C-Class C 300 AWD All Wheel Drive SKU:JU242686,"$35,998",please Call-please Confirm-please Come today*425-224-3384* eastside ,https://seattle.craigslist.org/est/ctd/d/bellevue-2018-mercedes-benz-class-300/7446810037.html,"    ☎ (425) 224-3384 🚗 JU242686 2L 4 Cylinder Engine Turbocharged JU242686 - 29302 Black Automatic Polar White   🔑 Well buy your car, no purchase necessary 🔑 Mega selection of over 100,000 new & used vehicles online 🔑  No-hassle financing 🔑 Little to No Money Down in Many Instances 🔑 1Price used vehicles, no haggle, no pressure 🔑 Used vehicle 5-day return policy  ✔️ Great Credit ✔️ Bad Credit ✔️ No Credit ✔️ No Co-Signer ✔️ First Time Buyers ✔️ Recent Divorce ✔️  Discharged Bankruptcy ✔️ Multiple Repo's ✔️ Short Job Time ✔️ Foreclosure ✔️  Child Support ✔️ Student Loans ✔️  Zero No Money Down Payment ✔️  Negative Equity ┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅    ┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅    ⚠️ As the nation's largest automobile retailer, vehicles are often moved from one dealership to another WITHOUT prior notice. We STRONGLY URGE you to call or email to verify availability of any used vehicle prior to coming in. With hundreds of dealerships and thousands of vehicles available nationwide, PLEASE don't waste your time by skipping this simple step.  ⚠️   You can immediately confirm availability of this vehicle by calling 📱 using this stock number:   Subject to prior sale. Call to confirm availability.  Bellevue, WA 98005        If youre seeing this ad, it is likely that the vehicle IS for sale within the Autonation network. Our intent is to prevent you from showing up after the vehicle has been moved.  Give us a call, let us physically touch it and confirm its availability. Well provide the local dealership name and address so that you dont waste your time.     If the post still has a phone number, we almost certainly still have the vehicle at one of your local Autonation dealerships. Simply dial the number above and we'll be happy to point you to the correct store. We may even bring the vehicle to a store near you.     No. We are not a buy here - pay here lot. However, because we are the largest retailer of New and Used vehicles in the U.S. we have access to banks and credit unions that can be a tremendous benefit to extremely challenged credit.     Many customers actually take delivery While this isn't a possibility in every situation, it is often an option when transacting with an Autonation dealership.      We need to buy cars from customers every day because of the huge demand in the used vehicle market. It isn't necessary for you to buy a vehicle either.  We'd love to purchase your vehicle regardless of age or mileage in most cases.     This is another very common situation that usually prevent you from trading your vehicle and taking delivery of your next New or PreOwned vehicle.     We've found that every single customer wants our bottom-line best price up front. Imagine going to a dealership and telling them ""don't tell me your best price, instead, keep going back and forth to your manager and waste as much of my time as possible, until we finally find your best price, and then try to guilt me into buying because you spent so much time with me"". If that's actually what you want, you may need help.  We put our bottom line lowest price on every pre-owned vehicle and then let you decide if, and when you want to buy it. No pressure.     COPY AND PASTE the link and in this ad, and find the CONTACT US tab on the right side of the Showroom Page.  Just ask ""Where might I see this vehicle?"". Someone will respond promptly.     Yes. We have very simple process for this very common situation. Just give us a call.   As America's Largest Automotive Retailer we have thousands of other vehicles, Copy and paste the link below to view inventory from this and other nearby dealerships.  Amg Line,Premium Package,Panorama Sunroof,Burmester Premium Sound System,Led Headlamps,Heated Front Seats,Sun/Moonroof,Smartphone Integration Package,Hands-Free Access Package,Keyless Start,Bluetooth Connection,All Wheel Drive,Black; Mb-Tex Upholstery,Brushed Aluminum Door Trim,Polar White,Sd-Card Navigation Pre-Wiring,Wheels: 18"" Amg 5-Spoke This vehicle includes a Money-Back Guarantee* and passed our precise inspection process. Best of all the price you see is the price you pay. No haggling. No back and forth. No pressure. And this price is so good it is guaranteed. *Money-Back Guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply. 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 convertible coupe hatchback mini-van offroad pickup sedan truck suv wagon van fwd rwd awd 4wd gas diesel hybrid Accessories & color may vary. Dealer not responsible for errors or omissions. New vehicle pricing may already include applicable manufacturer incentives which may expire at any time & are subject to incentive qualification criteria & requirements. Manufacturer incentive data & vehicle features is provided by third parties & believed to be accurate as of the time of publication. Please contact the store by email or phone for details & availability of incentives. Sales tax or other taxes, tag, title, registration fees, government fees, not included. $150 NEGOTIABLE SERVICE DOCUMENTARY FEE not included in quoted price. Pre-owned vehicle Money-Back Guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply. Some used vehicles may have unrepaired safety recalls. You can check recall status by VIN, at www.safercar.gov. A27FBAFAEA464DBBB650D168074EE06C 33875076 10222089 "
2019 BMW i3 SKU:K7D04220 Hatchback,"$33,850",please Call-please Confirm-please Come today *877-554-2958* eastside ,https://seattle.craigslist.org/est/ctd/d/medina-2019-bmw-i3-skuk7d04220-hatchback/7446805113.html,"    🔑 Well buy your car, no purchase necessary 🔑 Mega selection of over 100,000 new & used vehicles online 🔑  No-hassle financing 🔑 Little to No Money Down in Many Instances 🔑 1Price used vehicles, no haggle, no pressure 🔑 Used vehicle 5-day return policy  ✔️ Great Credit ✔️ Bad Credit ✔️ No Credit ✔️ No Co-Signer ✔️ First Time Buyers ✔️ Recent Divorce ✔️  Discharged Bankruptcy ✔️ Multiple Repo's ✔️ Short Job Time ✔️ Foreclosure ✔️  Child Support ✔️ Student Loans ✔️  Zero No Money Down Payment ✔️  Negative Equity ┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅    ┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅    ⚠️ As the nation's largest automobile retailer, vehicles are often moved from one dealership to another WITHOUT prior notice. We STRONGLY URGE you to call or email to verify availability of any used vehicle prior to coming in. With hundreds of dealerships and thousands of vehicles available nationwide, PLEASE don't waste your time by skipping this simple step.  ⚠️   You can immediately confirm availability of this vehicle by calling 📱 using this stock number:    ☎ (877) 554-2958 🚗 K7D04220 0.65L Electric Motor K7D04220 - 14983 Giga Brown/Carum Spice Automatic Imperial Blue Metallic w/Frozen Gray Accent  Subject to prior sale. Call to confirm availability.  Bellevue, WA 98004        If youre seeing this ad, it is likely that the vehicle IS for sale within the Autonation network. Our intent is to prevent you from showing up after the vehicle has been moved.  Give us a call, let us physically touch it and confirm its availability. Well provide the local dealership name and address so that you dont waste your time.     If the post still has a phone number, we almost certainly still have the vehicle at one of your local Autonation dealerships. Simply dial the number above and we'll be happy to point you to the correct store. We may even bring the vehicle to a store near you.     No. We are not a buy here - pay here lot. However, because we are the largest retailer of New and Used vehicles in the U.S. we have access to banks and credit unions that can be a tremendous benefit to extremely challenged credit.     Many customers actually take delivery While this isn't a possibility in every situation, it is often an option when transacting with an Autonation dealership.      We need to buy cars from customers every day because of the huge demand in the used vehicle market. It isn't necessary for you to buy a vehicle either.  We'd love to purchase your vehicle regardless of age or mileage in most cases.     This is another very common situation that usually prevent you from trading your vehicle and taking delivery of your next New or PreOwned vehicle.     We've found that every single customer wants our bottom-line best price up front. Imagine going to a dealership and telling them ""don't tell me your best price, instead, keep going back and forth to your manager and waste as much of my time as possible, until we finally find your best price, and then try to guilt me into buying because you spent so much time with me"". If that's actually what you want, you may need help.  We put our bottom line lowest price on every pre-owned vehicle and then let you decide if, and when you want to buy it. No pressure.     COPY AND PASTE the link and in this ad, and find the CONTACT US tab on the right side of the Showroom Page.  Just ask ""Where might I see this vehicle?"". Someone will respond promptly.     Yes. We have very simple process for this very common situation. Just give us a call.   As America's Largest Automotive Retailer we have thousands of other vehicles, Copy and paste the link below to view inventory from this and other nearby dealerships.  Technology & Driving Assistant Package,Giga World,Harman/Kardon Premium Sound System,Imperial Blue Metallic W/Frozen Gray Accent,Leather Seats,Wireless Charging,Navigation System,Parking Assistant,Keyless Start,Bluetooth Connection,Rear Spoiler,Giga Brown/Carum Spice; Natural Leather/Wool Cloth Upholstery,Light Eucalyptus Wood Trim,Wheels: 19"" X 5.0"" & 5.5"" Bmw I This vehicle includes a Money-Back Guarantee* and passed our precise inspection process. Best of all the price you see is the price you pay. No haggling. No back and forth. No pressure. And this price is so good it is guaranteed. *Money-Back Guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply. 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 convertible coupe hatchback mini-van offroad pickup sedan truck suv wagon van fwd rwd awd 4wd gas diesel hybrid Accessories & color may vary. Dealer not responsible for errors or omissions. New vehicle pricing may already include applicable manufacturer incentives which may expire at any time & are subject to incentive qualification criteria & requirements. Manufacturer incentive data & vehicle features is provided by third parties & believed to be accurate as of the time of publication. Please contact the store by email or phone for details & availability of incentives. Sales tax or other taxes, tag, title, registration fees, government fees, not included. $150 NEGOTIABLE SERVICE DOCUMENTARY FEE not included in quoted price. Pre-owned vehicle Money-Back Guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply. Vehicles may have unrepaired safety recalls. You can check recall status by VIN, at www.safercar.gov. A27FBAFAEA464DBBB650D168074EE06C 33826902 10222005 "
2015 BMW 4 Series AWD All Wheel Drive 428i xDrive Coupe,"$28,500",Lexus of Bellevue eastside ,https://seattle.craigslist.org/est/ctd/d/bellevue-2015-bmw-series-awd-all-wheel/7446816925.html,"  2015 BMW 4 Series 24679C WBA3N9C55FK248281 428i xDrive 37,120 Melbourne Red Metallic / Black Coupe Automatic 1DF434685056A981 2.0 L 4  Cyl Gasoline AWD 22 City / 33 Hwy   Clean CARFAX. LOCAL TRADE, AWD, BACK UP CAMERA, LEATHER, NAVIGATION, 9 Speakers, Advanced Real-Time Traffic Information, Anthracite Headliner, Black Door Mirror Caps, BMW Online & BMW Apps, Front dual zone A/C, Hands-Free Bluetooth & USB Audio Connection, Head-Up Display, Heated Front Seats, High intensity discharge headlights: Bi-xenon, High-Gloss Black Interior Trim, Instrument Cluster w/Extended Contents, Matte Coral Red Highlight Trim Finishers, Navigation System, Navigation System w/Touchpad, Power moonroof, Power windows, Radio: Anti-Theft AM/FM/HD Stereo CD/MP3 Player, Rain sensing wipers, Rear-View Camera, Remote keyless entry, Remote Services, Retractable Headlight Washers, Speed-Sensitive Wipers, Sport Line, Sport Line Aesthetic Elements, Sport Seats, Wheels: 18 x 8 Lt Alloy Double-Spoke (Style 397), Without Lines Designation Outside.2015 BMW 4 Series 428i xDrive Melbourne Red Metallic AWD 2.0L 4-Cylinder DOHC 16V Turbocharged 8-Speed Automatic22/33 City/Highway MPGCome to www.lexusofbellevue.com To See Our Specials!! Call us at 425-533-2147 for Help with any of our departments. Enjoy a seamless, transparent luxury buying experience at Lexus of Bellevue and Lexus Plus. A dealer documentary service fee in an amount up to one hundred and fifty dollars may be added to the sale price or capitalized cost.Awards: * JD Power Automotive Performance, Execution and Layout (APEAL) Study, Initial Quality Study (IQS) 101 116th Ave SE Bellevue, WA 98004 License #64602 Subject to prior sale. The price listed for this vehicle does not include charges such as: License, Title, Registration Fees, State or Local Taxes, Finance Charges, Optional Credit or Liability Insurance, Delivery Fee, and negotiable State Documentary Service Fee. The Dealership makes no representations, expressed or implied, to any actual or prospective purchaser or owner of this vehicle as to the existence, ownership, accuracy, description or condition of this vehicle's listed equipment, accessories, price or any warranties. Vehicle Pricing - Where permitted by law, all dealer fees and amounts must be disclosed in a clear, conspicuous and legible fashion. There are no exclusions. The Dealership is not responsible for typographical errors in price or equipment listed. Any and all differences must be addressed prior to the sale of this vehicle.  AD ID: 1DF434685056A981  Powered by Automoxie.com"
AUDI S5 SUPERCHARGED V8,"$29,950",WOODINVILLE eastside ,https://seattle.craigslist.org/est/cto/d/woodinville-audi-s5-supercharged-v8/7446844060.html," Immaculate, low mileage, supercharged V8 S5.  Addict Motorsport supercharged making 535HP at the wheels.  Deep Sea Blue Pearl exterior on Tuscan Brown interior.  Rare opportunity to own one of the fastest and most powerful V8 S5 Automatics in the country.  Carbon clean, filters, fluids, and new transmission valve body just completed.  Milltek exhaust, coilovers, 19” Avantgarde Wheels, lower body kit and incredible looking gold wrap (Avery Dennison Satin Energetic Yellow).  Aluminum interior trim with B&O and carbon accents.  Needs NOTHING.  Can email the Carfax containing impressive records on request. "
Toyota Camry,"$8,500",Renton eastside ,https://seattle.craigslist.org/est/cto/d/renton-toyota-camry/7446832757.html," Very clean, and reliable car owned by an calm manner older adult. This car has not been in any accident or issues and very well maintained. "
2018 Chevrolet Silverado 1500 4x4 4WD Chevy Truck LT Crew Cab,$488,Est. payment OAC eastside ,https://seattle.craigslist.org/est/ctd/d/kirkland-2018-chevrolet-silverado-x4/7446807406.html,"   Clean CARFAX. Graphite Metallic 2018 Chevrolet Silverado 1500 LT LT1 4WD 8-Speed Automatic EcoTec3 5.3L V8 8-Speed Automatic, 4WD, Dark Ash/Jet Black w/Leather Appointed Seat Trim, 110-Volt AC Power Outlet, 150 Amp Alternator, 3.42 Rear Axle Ratio, 4.2"" Diagonal Color Display Driver Info Center, 40/20/40 Front Split Bench Seat, 4-Wheel Disc Brakes, 6 Speaker Audio System, ABS brakes, Air Conditioning, All Star Edition, Alloy wheels, AM/FM radio: SiriusXM, Bluetooth® For Phone, Body Color Bodyside Moldings, Body-Color Door Handles, Body-Color Mirror Caps, Body-Color Power Adjustable Heated Outside Mirrors, Bodyside moldings, Brake assist, Bumpers: chrome, CD player, Chevrolet Connected Access, Chevrolet w/4G LTE, Chrome Grille Surround, Cloth Seat Trim, Color-Keyed Carpeting w/Rubberized Vinyl Floor Mats, Deep-Tinted Glass, Delay-off headlights, Driver & Front Passenger Illuminated Vanity Mirrors, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Dual-Zone Automatic Climate Control, Electric Rear-Window Defogger, Electronic Stability Control, Exterior Parking Camera Rear, EZ Lift & Lower Tailgate, Front anti-roll bar, Front Center Armrest w/Storage, Front Chrome Bumper, Front reading lights, Front wheel independent suspension, Fully automatic headlights, HD Radio, Heated door mirrors, Heavy Duty Suspension, Heavy-Duty Rear Locking Differential, High-Intensity Discharge Headlights, Illuminated entry, Leather Wrapped Steering Wheel w/Cruise Controls, Low tire pressure warning, Manual Tilt Wheel Steering Column, Occupant sensing airbag, OnStar & Chevrolet Connected Services Capable, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Power Windows w/Driver Express Up, Premium audio system: Chevrolet MyLink, Radio data system, Radio: AM/FM 8"" Diagonal Color Touch Screen, Rear 60/40 Folding Bench Seat (Folds Up), Rear Chrome Bumper, Rear reading lights, Rear seat center armrest, Rear step bumper, Rear Wheelhouse Liners, Remote Keyless Entry, Remote keyless entry, Remote Locking Tailgate, Remote Vehicle Starter System, Single Slot CD/MP3 Player, SiriusXM Satellite Radio, Speed control, Speed-sensing steering, Split folding rear seat, Steering Wheel Audio Controls, Steering wheel mounted audio controls, Theft Deterrent System (Unauthorized Entry), Thin Profile LED Fog Lamps, Tilt steering wheel, Traction control, Trailering Package, Trip computer, Variably intermittent wipers, Wheels: 17"" x 8"" Bright Machined Aluminum, Wheels: 20"" x 9"" Polished-Aluminum. Awards: * JD Power Initial Quality Study   * 2018 KBB.com 10 Most Awarded Brands 2018 Chevrolet Silverado 1500 N3162433A 3GCUKRER3JG200780 LT 62,678 Graphite Metallic / Dark Ash/Jet Black Crew Cab 8-Speed Automatic 1DF311B45056A981 5.30 8  Cyl Gasoline 4WD City /  Hwy 📋  CARFAX Available on this 2018 Chevrolet Silverado 1500 *Copy this link into your browser: ↪ Google: ⭐ ⭐ ⭐ ⭐ ⭐  4.5 Rating - 1,326 reviews SureCritic: ⭐ ⭐ ⭐ ⭐ ⭐  4.8 Rating - 3,639 reviews   Great Bank Financing Options Available ⭐    ✔️ Great Credit ✔️ Bad Credit ✔️ No Credit ✔️ No Co-Signer ✔️ First Time Buyers ✔️ Recent Divorce ✔️ Discharged Bankruptcy ✔️ Multiple Repo's ✔️ Short Job Time ✔️ Foreclosure ✔️ Child Support ✔️ Student Loans ✔️ Zero No Money Down Payment ✔️ Negative Equity 💥  Huge Selection Of Quality Pre-Owned Cars 💥  Leave The Lot With Confidence 💥 Trade-In Your Car 🚗 Check out our full inventory for more vehicles priced to move. * Copy this link into your browser: * All Star Edition                                                        * Trailering Package * 6 Speaker Audio System                                          * AM/FM radio: SiriusXM * CD player                                                                 * HD Radio * Premium audio system: Chevrolet MyLink            * Radio data system * Radio: AM/FM 8"" Diagonal Color Touch Screen   * Single Slot CD/MP3 Player * SiriusXM Satellite Radio                                         * Steering Wheel Audio Controls * Air Conditioning                                                      * Dual-Zone Automatic Climate Control * Electric Rear-Window Defogger                             * 110-Volt AC Power Outlet * Bluetooth® For Phone                                             * Power steering * Power windows                                                        * Power Windows w/Driver Express Up * Remote Keyless Entry                                             * Remote keyless entry * Remote Vehicle Starter System                               * Steering wheel mounted audio controls * Heavy Duty Suspension                                           * Leather Wrapped Steering Wheel w/Cruise Controls * Manual Tilt Wheel Steering Column                      * Speed-sensing steering * Traction control                                                       * 4-Wheel Disc Brakes * ABS brakes                                                              * Dual front impact airbags * Dual front side impact airbags                                 * Front anti-roll bar * Front wheel independent suspension                       * Low tire pressure warning * Occupant sensing airbag                                          * Overhead airbag * Rear Chrome Bumper                                              * Remote Locking Tailgate * Brake assist                                                              * Electronic Stability Control * Exterior Parking Camera Rear                                 * Delay-off headlights * Fully automatic headlights                                      * High-Intensity Discharge Headlights * Panic alarm                                                              * Theft Deterrent System (Unauthorized Entry) * Speed control                                                           * Heavy-Duty Rear Locking Differential * 150 Amp Alternator                                                 * Body Color Bodyside Moldings * Body-Color Door Handles                                       * Body-Color Mirror Caps * Body-Color Power Adjustable Heated Outside Mirrors * Bodyside moldings                                                  * Bumpers: chrome * Chrome Grille Surround                                          * EZ Lift & Lower Tailgate * Front Chrome Bumper                                             * Heated door mirrors * Power door mirrors                                                  * Rear step bumper * Rear Wheelhouse Liners                                          * Thin Profile LED Fog Lamps * 4.2"" Diagonal Color Display Driver Info Center    * Chevrolet Connected Access * Chevrolet w/4G LTE                                               * Cloth Seat Trim * Color-Keyed Carpeting w/Rubberized Vinyl Floor Mats * Driver & Front Passenger Illuminated Vanity Mirrors * Driver door bin                                                        * Driver vanity mirror * Front reading lights                                                  * Illuminated entry * OnStar & Chevrolet Connected Services Capable  * Overhead console * Passenger vanity mirror                                           * Rear reading lights * Rear seat center armrest                                           * Tilt steering wheel * Trip computer                                                          * 40/20/40 Front Split Bench Seat * Rear 60/40 Folding Bench Seat (Folds Up)             * Split folding rear seat * Front Center Armrest w/Storage                             * Passenger door bin * Alloy wheels                                                            * Wheels: 17"" x 8"" Bright Machined Aluminum * Wheels: 20"" x 9"" Polished-Aluminum                    * Deep-Tinted Glass * Variably intermittent wipers                                    * 3.42 Rear Axle Ratio    11616 120th AVE NE Kirkland, WA 98034 License # 7621 http://atmxi.com/website/4556 Subject to prior sale. The price listed for this vehicle does not include charges such as: License, Title, Registration Fees, State or Local Taxes, Finance Charges, Optional Credit or Liability Insurance, Delivery Fee, and negotiable State Documentary Service Fee. The Dealership makes no representations, expressed or implied, to any actual or prospective purchaser or owner of this vehicle as to the existence, ownership, accuracy, description or condition of this vehicle's listed equipment, accessories, price or any warranties. Vehicle Pricing - Where permitted by law, all dealer fees and amounts must be disclosed in a clear, conspicuous and legible fashion. There are no exclusions. The Dealership is not responsible for typographical errors in price or equipment listed. Any and all differences must be addressed prior to the sale of this vehicle.   AD ID: 1DF311B45056A981   Powered by Automoxie.com"
